Item,Count,Price,Link,Status
Pillow,1,,,
PAM8604 Amp,1,$11,amazon.com/Amplifier-DROK-PAM8406-Digital-Channel/dp/B077MKQJW2/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.EyfW1endnYFLX9MJ5wES4-hdWhaxtmuwp06JN00wfYvZh3-gp48xe-qsG5MfK2mjUOgH9_H65JLb8QwpPW-lTWkmiqilHMZn-tIqQGhs-yZQL1Ud9IFL7KksMb-2FCP3mZH7GXyospmGzifsAwOEUF4DggonTpscvdeX8BxYZwrxUD3-tq_lDrVLkrBfPHz2BICxlm5PZqGyZOKqscwD2IiavyD-Ps7C4dRTqxOwwL4.05xq12oC79GldoQc0FR2_aV28MMIfWGKNxiENcrELug&dib_tag=se&keywords=pam8406&qid=1776728232&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1 ,Need
DAEX19QLP-4,1,$20.28,https://www.parts-express.com/Dayton-Audio-DAEX19QLP-4-Quad-Feet-Low-Profile-19mm-Exciter-295-260?quantity=1,Need
Foam,1,$26.28,https://www.amazon.com/Mattress-Pressure-Ventilated-CertiPUR-US-Certified/dp/B09ZYFHKD1/ref=sr_1_2_sspa?dib=eyJ2IjoiMSJ9.wMgNQ-NVj-1AHhmbM9Bba3pJ8JFDhHsZNmWN6-8QvSQEXp88YFBN5zkcBNRanM9Y4AwLNqkBYs5F5_1I5-yVzY3CCUlWY2R9iAhq37uuAfpF7k9IaWxeLAQbpQL0qApmUvJuMu_SZhukwE7QVWPRlMJUN2fnUUZQ526Hv6wc7WmxtyGWwDRv1XXKTmBfje4OCZf4DTymMmUQn9kmVwOsCE9VcdnzDlrmXJk0rFpDSMRFRluaATTZjcqOlmIG_miLNQG2sEBYw7Qy_U5AfJNDJPWYtMN66ahK4Vl3YJ9glOU.InSpQu1M8LxbhnKCwuLzZGLPMSzjobZ8tbO-_h3AWTY&dib_tag=se&keywords=memory%2Bfoam%2Bmaterial&qid=1776728682&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,Need
Polypropylene,1,$11,https://www.amazon.com/gp/product/B0DLW8YLFW/ref=ox_sc_act_title_1?smid=AT2HKJ0HZV2KE&th=1,Need
Pillow,1,,,Have
5x2mm Magnets,25,$8,https://www.amazon.com/Caturledas-Neodymium-Refrigerator-Industrial-Scientific/dp/B0DBVLTYDC/ref=sr_1_1?crid=1N7WINRJNQE6L&dib=eyJ2IjoiMSJ9.ECOx8Omkcb7ZggETyKvfE5umAo_LB-L-2XHOx2UQ1dAInBrPSyYWSUspFVC6FEXzjodhkTzziAoLnlDZmP5v6_dqvhJNlR6xrDj3fLK5wHDxyD57zEAN7xphQjB9KqjqeFb9GN67G6AsI68NIGV4Ksy2Mw3Ha_GVOP5S7qCmVfAG8JuZPmANp--WwV-_drzq4MTIga1Jg3GcrGXHtyk2944vwUzOXRg6oVQ3I6AI-bM.ZTLkHSXkECRG4smXfJmGSDygHDzVYUzMucQyMZp4YLg&dib_tag=se&keywords=5x2mm%2Bmagnets&qid=1776729717&sprefix=5x2mm%2Bmagnets%2Caps%2C164&sr=8-1&th=1 , Need
PP Glue,1,$11,https://www.amazon.com/gp/product/B0FM3LDG3M/ref=ox_sc_act_title_1?smid=A1BHULY6HQ9UZ&psc=1,Need
